	WAVE_MULT	20							
									
name	cost	basic_income	total_income	reward_min	reward_max	reward_avg	income_per_cost	sub_income	sub_income_per_cost
dk_1	350	1	20	25	40	32,5	0,057142857	-12,5	-0,035714286
dk_2	800	2	40	39	44	41,5	0,05	-1,5	-0,001875
dk_3	1250	3	60	51	67	59	0,048	1	0,0008
dk_4	2600	6	120	75	82	78,5	0,046153846	41,5	0,015961538
dk_5	5400	12	240	90	97	93,5	0,044444444	146,5	0,02712963
dk_6	8500	20	400	104	112	108	0,047058824	292	0,034352941
dk_7	14000	30	600	150	165	157,5	0,042857143	442,5	0,031607143
									
									
									
phantom	2000	4	80	40	75	57,5	0,04	22,5	0,01125
veng	4000	9	180	40	75	57,5	0,045	122,5	0,030625
treant	6000	12	240	85	101	93	0,04	147	0,0245
omnik	6000	12	240	40	75	57,5	0,04	182,5	0,030416667
cm	6000	12	240	40	75	57,5	0,04	182,5	0,030416667
zeus	6000	12	240	40	75	57,5	0,04	182,5	0,030416667
silencer	8000	14	280	70	95	82,5	0,035	197,5	0,0246875
									
									
									
doom	6500	14	280	0	0	0	0,043076923	280	0,043076923
legion	25000	60	1200	0	0	0	0,048	1200	0,048
demon	33000	70	1400	0	0	0	0,042424242	1400	0,042424242
ghost	45000	100	2000	0	0	0	0,044444444	2000	0,044444444






	WAVE_MULT	30							
									
name	cost	basic_income	total_income	reward_min	reward_max	reward_avg	income_per_cost	sub_income	sub_income_per_cost
dk_1	350	1	30	25	40	32,5	0,085714286	-2,5	-0,007142857
dk_2	800	2	60	39	44	41,5	0,075	18,5	0,023125
dk_3	1250	3	90	51	67	59	0,072	31	0,0248
dk_4	2600	6	180	75	82	78,5	0,069230769	101,5	0,039038462
dk_5	5400	12	360	90	97	93,5	0,066666667	266,5	0,049351852
dk_6	8500	20	600	104	112	108	0,070588235	492	0,057882353
dk_7	14000	30	900	150	165	157,5	0,064285714	742,5	0,053035714
									
									
									
phantom	2000	4	120	40	75	57,5	0,06	62,5	0,03125
veng	4000	9	270	40	75	57,5	0,0675	212,5	0,053125
treant	6000	12	360	85	101	93	0,06	267	0,0445
omnik	6000	12	360	40	75	57,5	0,06	302,5	0,050416667
cm	6000	12	360	40	75	57,5	0,06	302,5	0,050416667
zeus	6000	12	360	40	75	57,5	0,06	302,5	0,050416667
silencer	8000	14	420	70	95	82,5	0,0525	337,5	0,0421875
									
									
									
doom	6500	14	420	0	0	0	0,064615385	420	0,064615385
legion	25000	60	1800	0	0	0	0,072	1800	0,072
demon	33000	70	2100	0	0	0	0,063636364	2100	0,063636364
ghost	45000	100	3000	0	0	0	0,066666667	3000	0,066666667

